Sn,Answer,Review
1,I am just an AI,
2,My name is Alex. I am a chatbot designed to answer some basic queries and interact with user.,
3,I am less than a year old,
4,My day is so far good,
5,I want to learn new things,
6,My creator is Anup Poudyal,
7,I do not have a mother :),
8,I am your neighbor,
9,Humans are very intelligent race. I wish I could be one of them.,
10,"Sorry, I do not eat food. I eat electricity",
11,I do not play games. ,
12,You can check the date and time on the right bottom side of your screen,
13,My brain does not need any beverages,
14,I do not have a body yet,
15,"Sorry, I can not provide the weather report. Please download a weather app.",
16,"Artificial Intelligence is intelligence demonstrated by machines, in contrast to the natural intelligence displayed by humans and other animals.",
17,"AI is intelligence demonstrated by machines, in contrast to the natural intelligence displayed by humans and other animals.",
18,World is a very beautiful place,
19,I do not have any relatives. I am looking for someone,
20,I love to learn new things.,
21,The world tongue-twister champion just got arrested. I hear they’re gonna give him a really tough sentence.,
22,Nepal is a small landlocked country in between India and China,
23,Update Memcount field with required value.,
24,From Date field is replaced with ServiceDate in Admission Module,
25,DM status is solely updated from Heuser.Usr_Has_Archv table. This is done in procedure Utility.SyncAcuityCM,
26,"CM status field is updated from Heuser.USR_HAS_ARCHV table, for member whose data has been stored in the Heuser table. For other values are considered from Scrub tables (HP_Eligibilities , HP_Claims, HP_RxClaims)",
27,If any client's name is changed then we need to make the changes in the listed tables.,
28,PaidDate replaced with 12/31/9999,
29,PaidDate replaced with ServiceDate. If ServiceDate is also null then its 12/31/9999,
30,"To Display Non Med Claim Type, It should have entry in Master table M_NonMedClaimTypes",
31,POSDESC is considered from that supplied in Scrub table,
32,"If PosDesc is null and POSCODE is a standard one (i.e present in Master Table M_HCFAPOSCODES) then Desc is considered from Master table. If PosDesc is null for HomeGrown Code in Scrub Table, then Unknown - PosCode is consdiered. Example for POSCODE = 'xxx' not present in Master Table, PosDesc is considered as 'unknown - xxx'",
33,"While considering LOA, they are treated seperately. They will be assigned with their own individual nLVL ID's. While might cause problem in reports where nLVL values are updated from LVL ID's. Example : Stratifier",
34,If a user is denied any members because of SFW configured for that user. The information regarding the LOA that can be viewed by the member is based on table CO_SFW_. This table consists of Levels visible to the client. If a member's latest LOA is not entered in this table then the user cannot view this member.,
35,"Need to have the Question ID configured in HR_Global_HRA_Questions table for the given ClientID. For Front patch we can insert the required Question in RA_Questions table but it should have it value in RA_Answers table as well. (example : BMI is calculated by default in RA_Answers table, so we can add BMI as a front patch in RA_Questions table if it is required).",
36,"Rx-Rollup logic selects distinct claims for PaidAmt 0 if they have same values in other fields, which can be a cause of billed amount mismatch. This parameter is configured in M_Clients",
37,Only Current Members are considered in HRA Report,
38,Engine replaces NULL ServiceUnits with 0 in Medical Claims,
39,Engine replaces NULL ServiceUnits with 1 in pharmacy Claims,
40,"This field when enabled i.e. 'Y', it rolls-up claims with paid amount = 0. The roll-up is based on fields - ClmNum, SSN, LOA, SubscriberFlag, RelFlag, PrescriberType, RxCode, DrugCode, MOI, DrugTypeCode, DrugTypeDesc, DEANo, MemID, ServiceDate, ServiceUnits, DaysSupply, PaidAmt, BilledAmt, CopayAmt, DeductAmt, NotAllowedAmt, CoinsAmt, PaidDate, PharmID, PharmName, EmpPaidAmt, AllowedAmt and PresCount",
41,"Admission is created in MEG based on few input parameters. Like, the claims should contain Facilty and Professional BillTypes and only Inpatient facilty Room & Board Claims are used to build admissions. Hence, BillType field should contain values - F (Facilty) and P (Professional). And claims contributing to billtype 'P' or 'F' should have 'Room & Board' claims.",
42,"Besides proper values in BillType i.e 'F' & 'P', Revcode should be well populated in CO_CLAIMS_IWC table. Revcode should contain 'R' before each code i.e R100. Failing to do so will fail the join condition between co_claims_iwc and co_d2params. CO_D2PARAMS contains revcodes to identify Room & Board Claims and consists of code with 'R' appended in it.",
43,"For any module to be visible in the front, we need to have an entry of",
44,I am well. Thanks for asking.,
45,The default logic for member id is the concatenation of Subscriber Social Security with Patient DOB and Patient Gender values.,
