ID,Statements,Category
1,Hi,c
2,hello,c
3,how are you,c
4,sup,c
5,"what's up",c
6,hey there,c
7,USA is a country,s
8,Donal Trump is the president of USA,s
9,What day is today?,q
10,Where can I find information about verscend?,q
11,What is the default logic used for memid?,q
12,Where is it located?,q
13,Nepal is a landlocked country,s
14,Verscend is going to be renamed to Cotivity starting September,s
15,howdy,c
16,Statement is just a noram sentence,s
17,how do you do?,q
18,What’s your favorite piece of clothing you own / owned?,q
19,What hobby would you get into if time and money weren’t an issue?,q
20,What would your perfect room look like?,q
21,How often do you play sports?,q
22,What fictional place would you most like to go?,q
23,What job would you be terrible at?,q
24,When was the last time you climbed a tree?,q
25," what would you have a good chance at winning medal for?",q
26,What is the most annoying habit that other people have?,q
27,What job do you think you’d be really good at?,q
28,What skill would you like to master?,q
29,What would be the most amazing adventure to go on?,q
30,"What would the finished house be like?",q
31,What’s your favorite drink?,q
32,What state or country do you never want to go back to?,q
33,What songs have you completely memorized?,q
34,What game or movie universe would you most like to live in?,q
35,What do you consider to be your best find?,q
36,Are you usually early or late?,q
37,What pets did you have while you were growing up?,q
38,"When people come to you for help, what do they usually want help with?",q
39,What takes up too much of your time?,q
40,What do you wish you knew more about?,q
41,What would be your first question after waking up from being cryogenically frozen for 100 years?,q
42,What are some small things that make your day better?,q
43,Who’s your go to band or artist when you can’t decide on something to listen to?,q
44,What shows are you into?,q
45,What TV channel doesn’t exist but really should?,q
46,Who has impressed you most with what they’ve accomplished?,q
47,What age do you wish you could permanently be?,q
48,What TV show or movie do you refuse to watch?,q
49,What would be your ideal way to spend the weekend?,q
50,"What is something that is considered a luxury, but you don’t think you could live without?",q
51,What’s your claim to fame?,q
52,What’s something you like to do the old-fashioned way?,q
53,What’s your favorite genre of book or movie?,q
54,How often do you people watch?,q
55,What have you only recently formed an opinion about?,q
56,What’s the best single day on the calendar?,q
57,What are you interested in that most people haven’t heard of?,q
58,How do you relax after a hard day of work?,q
59,What was the best book or series that you’ve ever read?,q
60,What’s the farthest you’ve ever been from home?,q
61,What is the most heartwarming thing you’ve ever seen?,q
62,What is the most annoying question that people ask you?,q
63,What could you give a 40-minute presentation on with absolutely no preparation?,q
64,"If you were dictator of a small island nation, what crazy dictator stuff would you do?",q
65,What is something you think everyone should do at least once in their lives?,q
66,Would you rather go hang gliding or whitewater rafting?,q
67,What’s your dream car?,q
68,What’s worth spending more on to get the best?,q
69,What is something that a ton of people are obsessed with but you just don’t get the point of?,q
70,What are you most looking forward to in the next 10 years?,q
71,Where is the most interesting place you’ve been?,q
72,What’s something you’ve been meaning to try but just haven’t gotten around to it?,q
73,What’s the best thing that happened to you last week?,q
74,What piece of entertainment do you wish you could erase from your mind so that you could experience for the first time again?,q
75,"If all jobs had the same pay and hours, what job would you like to have?",q
76,What amazing thing did you do that no one was around to see?,q
77,How different was your life one year ago?,q
78,What’s the best way to start the day?,q
79,What quirks do you have?,q
80,What would you rate 10 / 10?,q
81,What fad or trend do you hope comes back?,q
82,What’s the most interesting piece of art you’ve seen?,q
83,What kind of art do you enjoy most?,q
84,What do you hope never changes?,q
85,What city would you most like to live in?,q
86,What movie title best describes your life?,q
87,Why did you decide to do the work you are doing now?,q
88,What’s the best way a person can spend their time?,q
90,Where is the most relaxing place you’ve ever been?,q
91,What is the luckiest thing that has happened to you?,q
92,Where would you rather be from?,q
93,What are some things you’ve had to unlearn?,q
94,What are you looking forward to in the coming months?,q
95,What website do you visit most often?,q
96,What one thing do you really want but can’t afford?,q
97,Where do you usually go when you when you have time off?,q
98,Where would you spend all your time if you could?,q
99,What is special about the place you grew up?,q
100,What age do you want to live to?,q
101,What are you most likely to become famous for?,q
102,What are you absolutely determined to do?,q
103,What is the most impressive thing you know how to do?,q
104,What do you wish you knew more about?,q
105,What question would you most like to know the answer to?,q
106,"She wasn't doing a thing that I could see, except standing there leaning on the balcony railing, holding the universe together.",s
107,"In our village, folks say God crumbles up the old moon into stars.",s
108,"I took a deep breath and listened to the old brag of my heart; I am, I am, I am.",s
109,"Beauty is an enormous, unmerited gift given randomly.",s
110,Sometimes I can feel my bones straining under the weight of all the lives I'm not living,s
111,"A dream, all a dream, that ends in nothing, and leaves the sleeper where he lay down, but I wish you to know that you inspired it.",s
112,The curves of your lips rewrite history.,s
113,"And now that you don't have to be perfect, you can be good.",s
114,"If equal affection cannot be, let the more loving one be me.",s
115,"There are more things in Heaven and Earth, Horatio, than are dreamt of in your philosophy.",s
116,"America, I've given you all and now I'm nothing.",s
117,"It might be that to surrender to happiness was to accept defeat, but it was a defeat better than many victories",s
118,"At the still point, there the dance is.",s
119,"Once upon a time there was a boy who loved a girl, and her laughter was a question he wanted to spend his whole life answering.",s
120,"In spite of everything, I still believe people are really good at heart.",s
121,"The pieces I am, she gather them and gave them back to me in all the right order.",s
122,She was lost in her longing to understand.,s
123,She was becoming herself and daily casting aside that fictitious self which we assume like a garment with which to appear before the world.,s
124,"I celebrate myself,and sing myself.",s
125,The half life of love is forever.,s
126,"I could hear the human noise we sat there making, not one of us moving, not even when the room went dark.",s
127,I have spread my dreams under your feet; / Tread softly because you tread on my dreams,s
